Open,High,Low,Close,Volume,trend,MACD,CCI,ATR,BBANDS,EMA20,MA10,MA5,MOM6,MOM12,ROC,CMO,WILLR
20756.08514,20893.47333,20822.24612,20781.76067,141971.8255,-1,220.6694503,-146.171335,309.7184205,21091.13359,20985.95733,21293.36346,21091.13359,-787.2999,21284.34126,20717.96359,-5.514983197,-103.949419
20627.68931,20772.69089,20613.39822,20668.4286,141085.077,-1,169.9147032,-165.2755552,299.6215655,20945.47496,20955.7165,21222.9292,20945.47496,-844.48963,21239.70529,20728.89416,-12.47913731,-95.07619004
20567.78589,20719.36707,20388.64894,20620.08461,140564.3721,-1,124.3567374,-152.9076038,301.8427486,20818.65399,20923.75156,21137.4271,20818.65399,-776.63714,21185.17898,20737.63389,-15.34549163,-82.75939869
20609.82849,20765.51408,20436.04724,20667.53343,142126.4112,1,91.03109474,-111.8879936,303.815898,20733.33897,20899.34983,21049.36934,20733.33897,-586.65605,21126.40917,20747.23837,-11.48620509,-79.22473963
20735.6489,20893.51299,20643.65605,20793.71601,145266.1778,1,73.94971617,-67.91182439,299.9616867,20706.30466,20889.28947,20971.83488,20706.30466,-300.39249,21069.6267,20761.26525,-1.737516392,-69.82487679
20914.03566,21072.75824,20836.58161,20969.01389,149267.0282,1,73.70801438,-26.62417727,298.4674398,20743.75531,20896.88227,20917.44445,20743.75531,40.12633,21021.36861,20783.46009,10.03239452,-56.7662119
21125.55018,21284.79061,21028.80995,21175.63473,153601.7503,1,89.16124363,21.43434452,299.703817,20845.19653,20923.43012,20895.33575,20845.19653,393.87406,20988.58312,20816.19397,21.55242688,-41.37417002
21343.33224,21504.16601,21238.94484,21388.9799,157589.645,1,117.2713799,75.75365622,301.7629215,20998.97559,20967.7682,20908.81479,20998.97559,720.5513,20978.25493,20859.72728,31.32993867,-25.48120496
21555.29293,21718.1957,21444.98779,21596.99385,161479.8503,1,154.5522704,124.9466041,303.7238414,21184.86768,21027.69445,20959.10333,21184.86768,976.90924,20994.94427,20913.33242,39.27683528,-9.11602763
21759.58447,21924.08056,21637.36319,21797.07345,165722.5365,1,197.9604316,156.4103134,305.3926177,21385.53916,21100.96864,21045.92191,21385.53916,1129.54002,21040.1846,20975.43221,45.77679071,-8.271752929
21925.6817,22092.12549,21792.65642,21960.15238,170341.3488,1,242.7228608,160.3365089,304.9695072,21583.76686,21182.79566,21163.76109,21583.76686,1166.43637,21112.35492,21043.30163,50.43393946,-7.747280701
22028.25142,22196.99885,21892.45081,22061.86324,175422.4829,1,283.1407545,141.5732365,304.9394024,21761.01256,21266.51639,21303.10455,21761.01256,1092.84935,21206.76956,21113.69649,53.13737289,-7.472868456
22074.54536,22246.58058,21942.537,22109.18004,180620.746,1,315.3550797,117.8522365,304.8754151,21905.05259,21346.77007,21452.01409,21905.05259,933.54531,21317.38784,21182.86776,54.38384531,-7.395349594
