Open,High,Low,Close,Volume,trend
20284.59431,20522.31996,20171.3884,20379.39887,183582.4693,1
20223.13542,20503.51568,20213.0291,20372.90982,180834.3641,-1
20215.91619,20443.08933,20189.02578,20303.16845,178227.6546,-1
20242.29446,20355.71126,20116.48732,20193.61837,176311.058,-1
20286.6516,20271.18686,20037.59911,20082.98072,175543.4375,-1
20281.77827,20185.5117,19943.96102,19988.83973,176278.0603,-1
20164.80186,20100.69126,19835.25188,19934.07955,179129.5893,-1
19989.85799,20036.86076,19738.1762,19924.06974,183187.8023,-1
19819.54781,20003.93558,19667.27226,19950.01757,187269.5609,1
19753.84181,20050.29016,19685.40794,20034.04182,192188.6873,1
19892.22994,20220.02731,19851.36327,20193.36424,197775.2573,1
20177.80027,20476.16752,20121.83407,20405.15549,204382.0748,1
20526.03426,20772.38389,20440.58679,20644.98078,212365.1051,1
20842.41233,21041.45536,20729.00772,20867.0482,215084.8093,1
21026.62937,21213.54106,20905.48629,21024.65492,211696.2313,1
21109.536,21309.06798,20993.69038,21130.08005,202971.3775,1
21149.10547,21364.55694,21037.53162,21204.0603,174662.4678,1
21195.82476,21418.40351,21084.79235,21274.40025,151864.1055,1
21306.64877,21514.33756,21186.36654,21372.7712,185645.3346,1
21446.054,21624.01549,21314.74752,21475.10561,225503.6895,1
21558.6812,21705.11209,21425.29861,21548.11101,188793.6908,1
21610.25114,21731.0364,21470.03071,21569.06057,127688.0368,1
21563.08968,21672.32957,21416.30402,21512.91823,122678.3998,-1
21438.52853,21547.75921,21284.77234,21396.72175,144391.9344,-1
21280.80917,21395.24781,21066.98298,21254.18948,147491.826,-1
21102.10493,21224.56595,20852.49306,21094.1085,141937.8326,-1
20919.0587,21049.31215,20817.82713,20928.88756,141309.4474,-1
20756.08514,20893.47333,20822.24612,20781.76067,141971.8255,-1
20627.68931,20772.69089,20613.39822,20668.4286,141085.077,-1
20567.78589,20719.36707,20388.64894,20620.08461,140564.3721,-1
20609.82849,20765.51408,20436.04724,20667.53343,142126.4112,1
20735.6489,20893.51299,20643.65605,20793.71601,145266.1778,1
20914.03566,21072.75824,20836.58161,20969.01389,149267.0282,1
21125.55018,21284.79061,21028.80995,21175.63473,153601.7503,1
21343.33224,21504.16601,21238.94484,21388.9799,157589.645,1
21555.29293,21718.1957,21444.98779,21596.99385,161479.8503,1
21759.58447,21924.08056,21637.36319,21797.07345,165722.5365,1
21925.6817,22092.12549,21792.65642,21960.15238,170341.3488,1
22028.25142,22196.99885,21892.45081,22061.86324,175422.4829,1
22074.54536,22246.58058,21942.537,22109.18004,180620.746,1
22073.10014,22250.65184,21947.65027,22110.72306,185296.9279,1
22060.97016,22241.89485,21947.10405,22100.54606,189505.2063,-1
22074.71606,22254.12132,21974.92469,22112.51321,193267.9879,1
22097.57664,22271.76586,22004.39478,22131.65568,195855.6378,1
22111.63637,22276.592,22042.38611,22141.63069,196680.9611,1
22072.49471,22236.59799,22046.14369,22103.05324,194855.8184,-1
21938.00414,22119.57054,21841.7187,21978.50768,189485.227,-1
21750.49749,21959.88674,21512.68569,21806.11272,181368.4374,-1
21561.58406,21802.56355,21661.68281,21632.43237,171792.155,-1
21441.28862,21691.49918,21191.39155,21520.13395,161433.8517,-1
21459.06258,21672.3884,21277.74571,21531.27882,151202.5472,1
21585.02215,21732.98815,21410.04078,21639.68894,141746.3929,1
21769.78112,21843.54924,21586.86552,21801.78795,133283.7297,1
21957.02245,21987.18358,21761.67387,21967.41697,127103.6462,1
22086.18045,22142.12191,21919.74672,22082.63549,124406.6816,1
22175.31856,22301.93752,22061.26737,22163.50457,124551.4464,1
22255.68752,22465.48086,22192.4759,22237.42112,126813.8749,1
22358.38707,22621.21169,22318.54575,22332.3738,130149.6869,1
22518.4468,22759.61965,22448.31066,22479.93765,133060.2326,1
22700.17442,22868.92861,22561.55784,22646.71199,136592.964,1
22854.90403,22937.61672,22632.94853,22787.61561,142273.3823,1
22952.71832,22967.71573,22663.51485,22873.92954,149479.8346,1
22958.27633,22959.58098,22653.24198,22876.94115,157447.5622,1
22887.46133,22915.4634,22618.42953,22818.94359,164183.7864,-1
22779.78525,22847.18838,22541.43256,22700.37923,174195.7724,-1
22625.67093,22735.05752,22366.08418,22500.87217,193537.4556,-1
22424.35068,22564.37677,22250.1684,22382.4969,196228.4854,-1
22210.54984,22369.66355,22185.4321,22332.34983,186303.318,-1
22007.01118,22182.3868,21388.1755,21661.03674,287368.5055,-1
21886.77824,22064.38192,21683.66694,21973.75205,214776.6823,1
21919.6693,22076.18228,21735.6701,21890.87879,215862.6375,-1
22057.48727,22179.46414,22020.13413,21998.61177,186236.1205,1
22234.83558,22317.69049,22135.08146,22165.98581,148049.2598,1
22372.53644,22432.80776,22149.44609,22320.29299,116143.2082,1
22386.69234,22462.39718,22159.04052,22333.91145,114540.2348,1
22300.89986,22417.60643,22114.36891,22237.20367,134268.4416,-1
22164.40097,22329.94417,21958.12296,22095.26771,160346.8699,-1
22017.56116,22220.88483,21772.60336,21946.48582,180049.1566,-1
21905.44506,22115.03711,21659.04642,21835.70156,179626.3871,-1
21817.2017,22009.35594,21590.22639,21752.00586,164279.1793,-1
21731.15682,21897.04268,21524.02308,21672.56015,143475.0728,-1
21626.79685,21766.97751,21438.03455,21575.43192,126344.5834,-1
21483.37611,21609.22,21307.886,21438.19163,122416.5054,-1
21329.38744,21450.50145,21162.75339,21289.93655,127460.1639,-1
21200.31339,21320.2095,21041.54848,21167.23164,134710.4988,-1
21130.88163,21251.72535,20979.34044,21104.99446,136679.2851,-1
21156.50707,21278.69406,21011.91904,21139.01225,125836.5114,1
21259.46823,21383.64834,21121.14643,21250.93153,107322.7147,1
21406.10743,21534.01085,21272.30742,21405.77555,88475.74744,1
21577.57789,21711.14586,21446.49804,21584.93811,77303.11104,1
21749.85141,21891.0309,21619.72023,21764.59083,81966.28462,1
21912.23552,22061.22327,21781.1461,21932.41853,98715.52871,1
22063.28551,22218.42635,21929.35403,22085.56382,121186.2632,1
22182.82388,22340.42338,22044.08472,22202.05854,143421.049,1
